,TEMPLATE_SIZE,ATTACK_SIZE,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR
156,15000.0,25.0,1.0,116.625,0.0,0.0
157,15000.0,50.0,1.0,132.1875,0.0,0.0
158,15000.0,75.0,1.0,156.1875,0.0,0.0
159,15000.0,100.0,1.0,141.375,0.0,0.0
160,15000.0,25.0,2.0,138.1875,0.0,0.0
161,15000.0,50.0,2.0,162.1875,0.0,0.0
162,15000.0,75.0,2.0,111.625,0.0,0.0
163,15000.0,100.0,2.0,125.6875,0.0,0.0
164,15000.0,25.0,3.0,97.3125,0.0,0.0
165,15000.0,50.0,3.0,105.9375,0.0,0.0
166,15000.0,75.0,3.0,131.125,0.0,0.0
167,15000.0,100.0,3.0,119.375,0.0,0.0
168,20000.0,25.0,1.0,107.6875,0.0,0.0
169,20000.0,50.0,1.0,112.4375,0.0,0.0
170,20000.0,75.0,1.0,139.9375,0.0,0.0
171,20000.0,100.0,1.0,139.75,0.0,0.0
172,20000.0,25.0,2.0,116.5,0.0,0.0
173,20000.0,50.0,2.0,104.375,0.0,0.0
174,20000.0,75.0,2.0,109.125,0.0,0.0625
175,20000.0,100.0,2.0,108.75,0.0,0.0
176,20000.0,25.0,3.0,132.1875,0.0,0.0
177,20000.0,50.0,3.0,114.625,0.0,0.0
178,20000.0,75.0,3.0,113.25,0.0,0.0
179,20000.0,100.0,3.0,123.5625,0.0,0.0
180,10000.0,25.0,1.0,123.125,0.0,0.0
181,10000.0,50.0,1.0,140.125,0.0,0.0
182,10000.0,75.0,1.0,120.5,0.0,0.0
183,10000.0,100.0,1.0,121.0625,0.0,0.0
184,10000.0,25.0,2.0,129.9375,0.0,0.0
185,10000.0,50.0,2.0,97.9375,0.0,0.0
186,10000.0,75.0,2.0,132.4375,0.0,0.0
187,10000.0,100.0,2.0,131.0625,0.0,0.0
188,10000.0,25.0,3.0,108.75,0.0,0.0
189,10000.0,50.0,3.0,139.375,0.0,0.0
190,10000.0,75.0,3.0,125.5625,0.0,0.0
191,10000.0,100.0,3.0,87.0,0.0,0.0
192,15000.0,25.0,1.0,140.5625,0.0,0.0
193,15000.0,50.0,1.0,153.875,0.0,0.0
194,15000.0,75.0,1.0,134.8125,0.0,0.0
195,15000.0,100.0,1.0,129.3125,0.0,0.0
196,15000.0,25.0,2.0,124.3125,0.0,0.0
197,15000.0,50.0,2.0,140.5,0.0,0.0
198,15000.0,75.0,2.0,131.375,0.0,0.0
199,15000.0,100.0,2.0,134.5625,0.0,0.0
200,15000.0,25.0,3.0,126.0625,0.0,0.0
201,15000.0,50.0,3.0,140.125,0.0,0.0
202,15000.0,75.0,3.0,77.875,0.0,0.0
