,TEMPLATE_SIZE,ATTACK_SIZE,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR
202,15000.0,75.0,3.0,135.625,0.0,0.0
203,15000.0,100.0,3.0,112.8125,0.0,0.0
204,20000.0,25.0,1.0,122.0,0.0,0.0
205,20000.0,50.0,1.0,125.3125,0.0,0.0
206,20000.0,75.0,1.0,125.9375,0.0,0.0
207,20000.0,100.0,1.0,93.25,0.0,0.0
208,20000.0,25.0,2.0,119.75,0.0,0.0
209,20000.0,50.0,2.0,107.1875,0.0,0.0
210,20000.0,75.0,2.0,145.625,0.0,0.0
211,20000.0,100.0,2.0,116.5625,0.0,0.0
212,20000.0,25.0,3.0,143.0,0.0,0.0
213,20000.0,50.0,3.0,121.3125,0.0,0.0
214,20000.0,75.0,3.0,127.9375,0.0,0.0
215,20000.0,100.0,3.0,169.125,0.0,0.0
216,10000.0,25.0,1.0,148.8125,0.0,0.0
217,10000.0,50.0,1.0,96.25,0.0,0.0
218,10000.0,75.0,1.0,91.9375,0.0,0.0
219,10000.0,100.0,1.0,79.625,0.0,0.0
220,10000.0,25.0,2.0,137.8125,0.0,0.0
221,10000.0,50.0,2.0,144.875,0.0,0.0
222,10000.0,75.0,2.0,148.375,0.0,0.0
223,10000.0,100.0,2.0,149.6875,0.0,0.0
224,10000.0,25.0,3.0,115.875,0.0,0.0
225,10000.0,50.0,3.0,124.8125,0.0,0.0625
226,10000.0,75.0,3.0,115.9375,0.0,0.0
227,10000.0,100.0,3.0,124.3125,0.0,0.0
228,15000.0,25.0,1.0,103.375,0.0,0.0
229,15000.0,50.0,1.0,141.4375,0.0,0.0
230,15000.0,75.0,1.0,145.375,0.0,0.0
231,15000.0,100.0,1.0,117.1875,0.0,0.0
232,15000.0,25.0,2.0,139.25,0.0,0.0
233,15000.0,50.0,2.0,127.75,0.0,0.0
234,15000.0,75.0,2.0,145.1875,0.0,0.0
235,15000.0,100.0,2.0,136.875,0.0,0.0
236,15000.0,25.0,3.0,127.3125,0.0,0.0
237,15000.0,50.0,3.0,119.625,0.0,0.0
238,15000.0,75.0,3.0,129.0,0.0,0.0
239,15000.0,100.0,3.0,132.5625,0.0,0.0
240,20000.0,25.0,1.0,118.125,0.0,0.0
241,20000.0,50.0,1.0,138.3125,0.0,0.0
242,20000.0,75.0,1.0,131.125,0.0,0.0625
243,20000.0,100.0,1.0,118.9375,0.0,0.0
244,20000.0,25.0,2.0,130.125,0.0,0.0
245,20000.0,50.0,2.0,127.25,0.0,0.0
246,20000.0,75.0,2.0,121.875,0.0,0.0
247,20000.0,100.0,2.0,156.0,0.0,0.0
248,20000.0,25.0,3.0,110.375,0.0,0.0
249,20000.0,50.0,3.0,147.75,0.0,0.0
250,20000.0,75.0,3.0,112.0625,0.0,0.0
251,20000.0,100.0,3.0,160.6875,0.0,0.0
252,10000.0,25.0,1.0,124.125,0.0,0.0
253,10000.0,50.0,1.0,149.4375,0.0,0.0
254,10000.0,75.0,1.0,120.5625,0.0,0.0
