,TRACES_AMOUNT,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR,FULL
133,768,4,26.125,0,0.5625,1
134,768,16,55.875,0,0.375,1
135,3,1,115.1875,0,0.0,1
136,3,4,109.1875,0,0.0,1
137,3,16,112.875,0,0.0,1
138,12,1,103.8125,0,0.0,1
139,12,4,101.25,0,0.0625,1
140,12,16,137.375,0,0.0625,1
141,48,1,148.125,0,0.0,1
142,48,4,125.8125,0,0.0,1
143,48,16,133.5,0,0.0,1
144,192,1,45.75,0,0.0,1
145,192,4,72.0,0,0.125,1
146,192,16,93.75,0,0.0,1
147,768,1,7.9375,0,0.75,1
148,768,4,18.4375,0,0.5,1
149,768,16,47.3125,0,0.4375,1
